epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2076.82,0.29718,0.24366,0.78339,0.88858,0.93447,0.95709,0.93631,0.24822,0.26762,0.78737,0.0005075,0.0005075,0.0005075
62,2110.07,0.29503,0.24269,0.78303,0.88842,0.93403,0.95568,0.93586,0.25352,0.26143,0.78824,0.000495125,0.000495125,0.000495125
63,2143.89,0.29332,0.239,0.78417,0.8948,0.92438,0.95947,0.93349,0.26052,0.26879,0.7901,0.00048275,0.00048275,0.00048275
64,2177.98,0.28846,0.23628,0.78501,0.89659,0.93365,0.96183,0.94172,0.24538,0.26194,0.78883,0.000470375,0.000470375,0.000470375
65,2211.57,0.2889,0.23682,0.78245,0.90223,0.94662,0.96129,0.94311,0.24384,0.2632,0.78662,0.000458,0.000458,0.000458
66,2244.94,0.28167,0.22702,0.78324,0.89369,0.94246,0.95961,0.93799,0.24999,0.26333,0.78969,0.000445625,0.000445625,0.000445625
67,2278.37,0.28382,0.22891,0.78242,0.88332,0.94992,0.95825,0.9359,0.24878,0.256,0.78833,0.00043325,0.00043325,0.00043325
68,2311.64,0.27624,0.22444,0.78387,0.91675,0.93751,0.96176,0.9425,0.25147,0.25692,0.78769,0.000420875,0.000420875,0.000420875
69,2344.66,0.2812,0.22091,0.78209,0.88046,0.95416,0.96257,0.94011,0.24567,0.25585,0.78929,0.0004085,0.0004085,0.0004085
70,2377.93,0.27928,0.22257,0.78492,0.87079,0.96181,0.95786,0.94054,0.24016,0.26565,0.78845,0.000396125,0.000396125,0.000396125
71,2411.11,0.2744,0.21715,0.78182,0.90846,0.93172,0.95999,0.9405,0.24783,0.25626,0.79003,0.00038375,0.00038375,0.00038375
72,2444.63,0.27752,0.22211,0.78287,0.9056,0.92956,0.9594,0.93847,0.24381,0.2588,0.78753,0.000371375,0.000371375,0.000371375
73,2472.42,0.27157,0.21384,0.78136,0.93503,0.8864,0.95856,0.93836,0.24201,0.26305,0.78945,0.000359,0.000359,0.000359
74,2499.37,0.26221,0.20969,0.78214,0.91414,0.91276,0.96127,0.9417,0.24067,0.2592,0.78825,0.000346625,0.000346625,0.000346625
75,2528.38,0.2666,0.21042,0.78201,0.90522,0.9228,0.95548,0.93612,0.24141,0.26233,0.78915,0.00033425,0.00033425,0.00033425
76,2561.67,0.26785,0.21029,0.77946,0.90383,0.92198,0.95984,0.94197,0.24086,0.24756,0.79129,0.000321875,0.000321875,0.000321875
77,2594.98,0.2683,0.20984,0.77883,0.90731,0.92105,0.95727,0.93643,0.24177,0.25107,0.78969,0.0003095,0.0003095,0.0003095
78,2627.25,0.26219,0.20595,0.78101,0.94085,0.88825,0.95882,0.94024,0.2408,0.25206,0.78898,0.000297125,0.000297125,0.000297125
79,2660.7,0.25745,0.20204,0.77825,0.9103,0.92113,0.95098,0.93332,0.23778,0.2522,0.7906,0.00028475,0.00028475,0.00028475
80,2694.03,0.25912,0.20422,0.77843,0.90954,0.91656,0.94296,0.92494,0.23737,0.2658,0.78851,0.000272375,0.000272375,0.000272375
81,2727.71,0.25314,0.1961,0.77668,0.91189,0.9165,0.94598,0.9259,0.24193,0.26976,0.78933,0.00026,0.00026,0.00026
82,2755.72,0.25224,0.19316,0.77753,0.87264,0.94601,0.95336,0.93279,0.23249,0.2559,0.78847,0.000247625,0.000247625,0.000247625
83,2782.78,0.25203,0.19388,0.77757,0.91837,0.89934,0.94834,0.93017,0.23601,0.26572,0.79,0.00023525,0.00023525,0.00023525
84,2809.76,0.25049,0.19504,0.77677,0.9137,0.90883,0.95428,0.9353,0.23487,0.2654,0.78963,0.000222875,0.000222875,0.000222875
85,2836.78,0.24887,0.18967,0.7788,0.90276,0.91342,0.95218,0.93258,0.23088,0.26209,0.7892,0.0002105,0.0002105,0.0002105
86,2863.75,0.24337,0.18889,0.77492,0.90334,0.91288,0.95659,0.93804,0.22764,0.26723,0.78861,0.000198125,0.000198125,0.000198125
87,2890.66,0.2423,0.18629,0.77476,0.90774,0.91369,0.95596,0.93878,0.2333,0.25486,0.78905,0.00018575,0.00018575,0.00018575
88,2917.64,0.24574,0.18883,0.77533,0.90158,0.89353,0.95174,0.93528,0.22741,0.25943,0.78853,0.000173375,0.000173375,0.000173375
89,2944.68,0.24045,0.1855,0.77658,0.88627,0.92104,0.95116,0.93543,0.23111,0.25514,0.78969,0.000161,0.000161,0.000161
90,2971.54,0.23709,0.18082,0.77673,0.88577,0.93866,0.95385,0.93865,0.23032,0.26234,0.78889,0.000148625,0.000148625,0.000148625
91,3008.4,0.22852,0.17814,0.77095,0.91482,0.90575,0.94818,0.93025,0.23678,0.26456,0.78982,0.00013625,0.00013625,0.00013625
92,3035.2,0.22105,0.16784,0.77203,0.88161,0.93527,0.94016,0.92343,0.2406,0.26449,0.79035,0.000123875,0.000123875,0.000123875
93,3061.95,0.21615,0.16505,0.77194,0.92408,0.89615,0.95472,0.9356,0.23496,0.26122,0.78978,0.0001115,0.0001115,0.0001115
94,3088.85,0.21408,0.1626,0.77126,0.92211,0.89139,0.94984,0.93221,0.23176,0.26345,0.78908,9.9125e-05,9.9125e-05,9.9125e-05
95,3115.63,0.20949,0.1593,0.77086,0.92938,0.89268,0.95397,0.93676,0.22749,0.2711,0.78984,8.675e-05,8.675e-05,8.675e-05
96,3142.55,0.20879,0.15562,0.76647,0.88375,0.92352,0.94471,0.92783,0.23187,0.27844,0.79032,7.4375e-05,7.4375e-05,7.4375e-05
97,3169.29,0.20702,0.1542,0.77042,0.92851,0.89805,0.94789,0.93034,0.22611,0.26627,0.78943,6.2e-05,6.2e-05,6.2e-05
98,3196.15,0.20253,0.15213,0.76764,0.89152,0.93042,0.94764,0.93012,0.22577,0.26238,0.78965,4.9625e-05,4.9625e-05,4.9625e-05
99,3222.97,0.20037,0.14822,0.77086,0.89146,0.93843,0.94531,0.92733,0.22734,0.26054,0.7893,3.725e-05,3.725e-05,3.725e-05
100,3249.75,0.19937,0.14688,0.77002,0.89166,0.933,0.94349,0.92477,0.2264,0.26272,0.78953,2.4875e-05,2.4875e-05,2.4875e-05
